WTEu.TO,2010-05-06,2010:Q1
YRI.TO,2010-05-03,2010:Q1
YLOu.TO,2010-05-06,2010:Q1
AAV.TO,2010-03-16,2009:A
ARE.TO,2010-03-02,2009:A
AGF.B.TO,2010-01-27,2009:A
AEM.TO,2010-02-17,2009:A
AGU.TO,2010-02-09,2009:A
AGI.TO,2010-03-16,2009:A
ATD.B.TO,2009-11-24,2010:Q2
ALAu.TO,2010-02-26,2009:A
AETu.TO,2010-02-09,2009:A
ACM.A.TO,2010-01-14,2010:Q1
ACO.X.TO,2010-02-18,2009:A
ATP.TO,2010-03-29,2009:A
ARZ.TO,2010-03-19,2009:A
BMO.TO,2010-03-02,2010:Q1
BNS.TO,2009-12-08,2009:A
BNK.TO,2010-03-22,2009:A
ABX.TO,2010-02-18,2009:A
BTEu.TO,2010-03-11,2009:A
BCE.TO,2010-02-04,2009:A
BAu.TO,2010-02-03,2009:A
BVF.TO,2010-02-25,2009:A
BIR.TO,2010-02-19,2009:A
BEIu.TO,2010-02-18,2009:A
BBD.B.TO,2010-04-01,2010:Q4
BNPu.TO,2010-03-04,2009:A
BAM.A.TO,2010-02-19,2009:A
BPO.TO,2010-02-05,2009:A
BRCu.TO,2010-02-09,2009:A
CAE.TO,2010-05-13,2010:Q4
CWTu.TO,2010-02-24,2009:A
CCO.TO,2010-02-24,2009:A
CARu.TO,2010-02-24,2009:A
CM.TO,2010-02-25,2010:Q1
CNR.TO,2010-01-26,2009:A
CNQ.TO,2010-03-04,2009:A
COSu.TO,2010-01-28,2009:A
CP.TO,2010-01-28,2009:A
REFu.TO,2010-02-12,2009:A
CTC.A.TO,2010-02-11,2009:A
CU.TO,2010-02-18,2009:A
CWB.TO,2009-12-02,2009:A
CFP.TO,2010-02-10,2009:A
,2009-2009-2009,
CCL.B.TO,2010-02-25,2009:A
CLS.TO,2010-01-27,2009:A
CLT.TO,2010-03-05,2009:A
CVE.TO,2010-02-11,2009:A
CG.TO,2010-02-23,2009:A
GIB.A.TO,2010-01-27,2010:Q1
CSHu.TO,2010-03-04,2009:A
CIX.TO,2010-02-23,2009:A
CGXu.TO,2010-02-11,2009:A
CLCu.TO,2010-03-04,2009:A
CCA.TO,2010-01-13,2010:Q1
CUFu.TO,2010-03-11,2009:A
CLM.TO,2010-03-18,2009:A
CJR.B.TO,2010-01-13,2010:Q1
BCB.TO,2010-02-24,2009:A
CPG.TO,2010-03-11,2009:A
CR.TO,2010-03-09,2009:A
DHFu.TO,2010-03-02,2009:A
DAYu.TO,2010-03-02,2009:A
DGC.TO,2010-03-15,2009:A
DII.B.TO,2010-03-10,2009:A
DC.A.TO,2010-03-29,2009:A
Du.TO,2010-02-23,2009:A
ELR.TO,2010-03-31,2009:A
ELD.TO,2010-03-18,2009:A
EMA.TO,2010-02-12,2009:A
EMP.A.TO,2009-12-10,2010:Q2
ENB.TO,2010-02-03,2009:A
ECA.TO,2010-02-11,2009:A
ERFu.TO,2010-02-25,2009:A
ESI.TO,2010-03-15,2009:A
EQN.TO,2010-03-10,2009:A
EGU.TO,2010-03-18,2009:A
